O_id,D_id,distance
b0,c95,4.987010147669773
b0,c96,6.130378613678164
b0,c97,4.816188139515242
b0,c98,4.977008271702075
b0,c99,6.01226983894762
b0,c100,6.395160062104392
b0,c101,6.522643657342937
b0,c102,5.524175994649988
b0,c103,5.518506530992255
b0,c104,5.821453504801178
b0,c105,1.564559153991052
b0,c106,1.7557109183788435
b0,c107,1.2904571834129812
b0,c108,1.5735425101220823
b0,c109,2.4226763082459
b0,c110,2.42385979859869
b0,a111,6.771755397676979
b0,a112,7.46763358053339
b0,a113,7.377394904635313
b0,a114,6.551070033341408
b0,a115,7.315517957693158
b0,a116,7.002125067849053
b0,b117,3.4092530574644258
b0,b118,2.966649972690635
b0,b119,4.587817159561184
b0,b120,4.572377041351874
b0,b121,3.7384584727217764
b0,b122,2.4904722841343414
b0,a123,1.605876858376517
b0,a124,1.6144141643655667
b0,a125,2.1968505708651356
b0,a126,1.2935590002637867
b0,a127,2.156012326764848
b0,a128,0.5192336900076903
b0,b129,2.2083048901740376
b0,b130,3.0040324174112976
b0,a131,3.531562951609789
b0,a132,4.100540660564118
b0,a133,3.926023606741085
b0,c134,0.6923814656837094
b0,c135,1.2391339594802244
b0,c136,0.962917935278302
b0,c137,1.1063823011838847
b0,c138,0.0628908393279521
b0,c139,0.0
b0,a140,5.8688774534308195
b0,a141,4.710299069842229
b0,a142,6.627898682127868
b0,a143,5.813958137846244
b0,a144,6.514349189133024
b0,a145,6.942859770522865
b0,a146,6.260784412059352
b0,a147,5.905309019436678
b0,a148,5.340885571044603
b0,a149,1.914939735192416
b0,a150,1.8491190642174298
b0,a151,4.839505381266685
b0,a152,5.034717691221135
b0,a153,2.333985584343191
b0,a154,2.656564549456759
b0,a155,2.8240132989688744
b0,a156,2.960842520039262
b0,a157,4.427978497338455
b0,a158,5.616668157086099
b0,a159,4.8479873953015105
b0,a160,4.959611382265747
b0,a161,4.5826254772111135
b0,a162,3.669627020963118
b0,a163,3.852079049468418
b0,a164,3.4069778368557557
b0,a165,2.7353691423203226
b0,a166,3.6971908373042304
b0,a167,3.9964060029411135
b0,a168,3.0235542218342437
b0,a169,4.634050252122553
b0,a170,4.601422121861899
b0,a171,3.461750344571514
b0,a172,3.005971235074616
b0,a173,3.317509940671139
b0,a174,3.6958694940245107
b0,a175,4.14719813587003
b0,a176,4.530645037460775
b0,a177,3.9806570129269176
b0,a178,3.6088864462124546
b0,a179,4.3292989431721685
b0,a180,4.116711010963205
b0,a181,3.277425995815431
b0,a182,3.7718959781494714
b0,a183,3.5070093751153557
b0,a184,3.1262800882339996
b0,a185,2.7986049367131436
b0,a186,3.253242979811634
