O_id,D_id,O_lng,O_lat,D_lng,D_lat,c_1,c_2,c_3,c_4
a0,a122,24825.49021786632,427394.25498779124,327629.0260196058,811750.5888510275,0.1206651503420346,0.14659755798344137,0.7156031419752082,0.01713414969931589
a0,a123,24825.49021786632,427394.25498779124,236764.22555054954,786587.5636538664,0.054321738678311554,0.038866191419710455,0.9068120699019779,0.0
a0,a124,24825.49021786632,427394.25498779124,290288.96069366677,916134.6405200554,0.036065354607092294,0.0075677429612839575,0.9563669024316238,0.0
a0,a125,24825.49021786632,427394.25498779124,200461.77850946007,895016.743309081,0.11857303116616874,0.01457358241851942,0.8662882372140379,0.0005651492012738329
a0,a126,24825.49021786632,427394.25498779124,397494.89417950663,1041299.2889496253,0.1470529623842343,0.114786933077181,0.7358534544369987,0.0023066501015860255
a0,a127,24825.49021786632,427394.25498779124,412282.63673052174,944479.3905280995,0.14113829232661315,0.13364303441373995,0.542023606674342,0.18319506658530488
a0,a128,24825.49021786632,427394.25498779124,817471.8167582536,1023983.2714792921,0.06079932725472602,0.16225041384585392,0.014098237231913101,0.7628520216675069
a0,a129,24825.49021786632,427394.25498779124,840617.4000247683,1066048.994613354,0.06403137172273893,0.1570328338350747,0.016088856004035215,0.7628469384381512
a0,a13,24825.49021786632,427394.25498779124,944376.4390713891,236379.03617695655,0.9724844881261707,0.0012848689343547396,0.007412995417314599,0.01881764752215993
a0,a130,24825.49021786632,427394.25498779124,914576.2591614857,1017008.2116598854,0.04214511244675821,0.2244551564690669,0.020644990029014033,0.7127547410551608
a0,a131,24825.49021786632,427394.25498779124,772772.8341775107,479742.1411346412,0.27538147462102996,0.6973470964672572,0.011908960316721966,0.015362468594990818
a0,a132,24825.49021786632,427394.25498779124,794582.4187566065,389819.627875399,0.7847168136137891,0.21259040323757233,0.0011870849514983624,0.00150569819714023
a0,a133,24825.49021786632,427394.25498779124,729273.6174961067,433414.65191384,0.27732660500529793,0.6883065688976175,0.011456063455328252,0.022910762641756417
a0,a134,24825.49021786632,427394.25498779124,814492.9162968412,463021.0537387825,0.4735173040218666,0.4872566583178633,0.01473292618959969,0.024493111470670292
a0,a135,24825.49021786632,427394.25498779124,734621.9026055698,503117.5371782583,0.10544700870141906,0.8774913005013389,0.009848766610149615,0.007212924187092435
a0,a136,24825.49021786632,427394.25498779124,819337.6524952337,533250.5425125925,0.23347239420175842,0.7458886272864618,0.011709015695964078,0.00892996281581571
a0,a137,24825.49021786632,427394.25498779124,405964.3906357476,225746.31745014584,0.019703997903929443,0.9771627452396967,0.0023193352788917375,0.0008139215774820806
a0,a138,24825.49021786632,427394.25498779124,475228.88151889504,174468.65176498517,0.11502494609698755,0.845964447881062,0.01983955259138941,0.019171053430561042
a0,a139,24825.49021786632,427394.25498779124,470512.4370375117,254934.7120561057,0.1035097500623396,0.85462900960091,0.01250821538709618,0.02935302494965405
a0,a14,24825.49021786632,427394.25498779124,956009.3286629121,178668.6067289549,0.9334779466354446,0.0389817442862472,0.00886988742385228,0.018670421654455958
a0,a140,24825.49021786632,427394.25498779124,471789.87271525123,295326.20141978515,0.11038742915074397,0.864648706321255,0.008283150022161357,0.01668071450583961
a0,a141,24825.49021786632,427394.25498779124,404081.91612750606,315853.5297303134,0.03209670696538813,0.9599577761579338,0.0014347470737335931,0.006510769802944592
a0,a142,24825.49021786632,427394.25498779124,326284.7534246049,341187.1513074185,0.02571096888572244,0.8159913909028578,0.000734797745691756,0.15756284246572802
a0,a143,24825.49021786632,427394.25498779124,208883.52329326273,56388.706315699965,0.028347445552435707,0.9548854166591185,0.016333508258120372,0.0004336295303253421
a0,a144,24825.49021786632,427394.25498779124,221971.57515950824,172067.88580443026,0.02339809890525096,0.9685042527287632,0.005723151485428188,0.0023744968805577762
a0,a145,24825.49021786632,427394.25498779124,342315.3024724446,193197.99082173483,0.011616440807345023,0.986961807585391,0.0012819876952315519,0.00013976391203240606
a0,a146,24825.49021786632,427394.25498779124,420407.27948329266,813479.9700684384,0.09513056932419615,0.21326852395009885,0.2748975328221954,0.41670337390350964
a0,a147,24825.49021786632,427394.25498779124,491411.01087349356,1010688.5776304929,0.18551573836359844,0.1596591463081953,0.19651252404630484,0.4583125912819013
a0,a148,24825.49021786632,427394.25498779124,504078.6038252066,1081953.3155865178,0.25530462441901275,0.1759838366860382,0.1589602389060711,0.409751299988878
a0,a149,24825.49021786632,427394.25498779124,274961.92564588063,1095341.9582810076,0.10703631732793328,0.17817227124265198,0.7147914114294147,0.0
a0,a15,24825.49021786632,427394.25498779124,996123.8676216246,227838.33988125462,0.9545295329283946,0.020147244063977228,0.0114723691822736,0.013850853825354678
a0,a150,24825.49021786632,427394.25498779124,303846.24855370703,1094712.255896731,0.12534102045796058,0.19642919061976022,0.6782161839253853,1.3604996893795707e-05
a0,a151,24825.49021786632,427394.25498779124,287836.1791537992,1013784.5949109837,0.07662177664945068,0.054414488938974354,0.868963734411575,0.0
a0,a152,24825.49021786632,427394.25498779124,247623.52260840326,1071692.9609014476,0.10845799611673486,0.08879659069973596,0.8027454131835292,0.0
a0,a153,24825.49021786632,427394.25498779124,794709.6847757159,1097292.0980573634,0.13219807443372597,0.256232126847412,0.01841916193546716,0.5931506367833949
a0,a154,24825.49021786632,427394.25498779124,800115.8815063951,874105.2354945542,0.11290975869282303,0.4927583885497354,0.018087686263564322,0.37624416649387715
a0,a155,24825.49021786632,427394.25498779124,851144.5624537094,933478.547159823,0.056529416164611324,0.389896365068852,0.011427068722169559,0.5421471500443673
a0,a156,24825.49021786632,427394.25498779124,872832.8748749801,829952.9996414019,0.08997980125214063,0.7840059811122344,0.015387475891376241,0.11062674174424873
a0,a157,24825.49021786632,427394.25498779124,745828.6330670404,899806.1846425858,0.05115372953662861,0.13552638812107123,0.016209893152847137,0.7971099891894531
a0,a158,24825.49021786632,427394.25498779124,763495.0774796839,811047.5571906039,0.07651050010682586,0.4527113762378905,0.015612522925145967,0.4551656007301376
a0,a159,24825.49021786632,427394.25498779124,826582.6960629094,790599.5773261351,0.09904029694242722,0.8509686059442689,0.013443126922733844,0.03654797019056993
a0,a16,24825.49021786632,427394.25498779124,940657.13222008,335621.45504103263,0.9934289010005624,0.0008065929005042707,0.005732456024474608,3.205007445876333e-05
