O_id,D_id,distance
a0,a123,7.325591330786254
a0,a124,7.324936628049668
a0,a125,5.005897817757809
a0,a126,6.315544388505296
a0,a127,5.887360108969743
a0,a128,6.6683924840131175
a0,a129,7.219767149000587
a0,a130,6.853069493118513
a0,a131,5.322262446508999
a0,a132,6.236510402491544
a0,a133,5.259034030744808
a0,a134,7.145569834796371
a0,a135,6.770568842892549
a0,a136,6.260636698036751
a0,a137,7.205422170713265
a0,a138,7.684942287436025
a0,a139,3.5203005152456437
a0,a140,4.909827004954975
a0,a141,5.185914022863874
a0,a142,5.7182687832763754
a0,a143,5.1627629494664795
a0,a144,4.519347252691453
a0,a145,4.1242703985173
a0,a146,3.9605816524638904
a0,a147,4.3075878698515675
a0,a148,0.429711323134486
a0,a149,0.5203905475323036
a0,a150,1.3683343397625733
a0,a151,4.199025443885625
a0,a152,3.9142325814135597
a0,a153,4.074999223087456
a0,a154,4.616899480820632
a0,a155,4.984602597767313
a0,a156,8.324901991937296
a0,a157,8.093634527920296
a0,a158,7.414192354097328
a0,a159,9.05693276371468
a0,a160,9.503884834730933
a0,a161,8.947065755365232
a0,a162,8.863258003020809
a0,a163,8.365634481529895
a0,a164,9.430612807514176
a0,a165,8.820481386405675
a0,a166,8.967560148406116
a0,a167,9.42437816735893
a0,a168,9.710201904688219
a0,a169,2.762671202188006
a0,a170,3.402995848223267
a0,a171,3.243863343129698
a0,a172,3.650351705723652
a0,a173,3.540588781332289
a0,a174,2.2037332948921335
a0,a175,1.633516520516958
a0,a176,1.969987243602873
a0,a177,2.632370067278045
a0,a178,2.9180258569017457
a0,a179,1.5179880570056237
a0,a180,2.029258907624727
a0,a181,2.898514202642081
a0,a182,7.2750440364656495
a0,a183,5.545673833709698
a0,a184,0.7788167578002587
a0,a185,0.30569373302221425
a0,a186,7.193478386311285
a0,a187,9.442568788205909
a0,a188,9.933326959247506
a0,a189,10.096901814429808
a0,a190,8.951119528983288
a0,a191,7.393180619296159
a1,a2,3.9076263746300377
a1,a3,5.372670127469026
a1,a4,1.81033838001884
a1,a5,3.5455361505628784
a1,a6,1.0772015504322474
a1,a7,6.161378029970255
a1,a8,0.6974288156038234
a1,a9,0.0
a1,a10,1.6886984051078886
a1,a11,1.0094758026724548
a1,a12,1.2239867263382282
a1,a13,1.8387646543933442
a1,a14,5.723250111505329
a1,a15,5.380571926445307
a1,a16,3.684009124978938
a1,a17,0.9046774330882843
a1,a18,1.1955076183864513
a1,a19,0.0
