O_id,D_id,O_lng,O_lat,D_lng,D_lat,c_1,c_2,c_3
a111,a185,889898.6054375658,334168.1847814049,219646.96096294367,178582.82019067425,0.006086140122477955,0.9939110102423236,2.849635198385962e-06
a111,a186,889898.6054375658,334168.1847814049,65785.34100860436,52063.27016988291,0.010871132156529907,0.9890800638237305,4.880401973952971e-05
a111,a187,889898.6054375658,334168.1847814049,14344.114131277924,259178.25211443266,0.014953767831546694,0.9834925514189844,0.0015536807494689853
a111,a194,889898.6054375658,334168.1847814049,1075717.656626803,210493.07883767594,0.003578203247885848,0.9964217967521142,0.0
a111,a195,889898.6054375658,334168.1847814049,1056299.5580437765,15624.092004105909,0.016293997054053103,0.9837031958262863,2.8071196605927443e-06
a111,a28,889898.6054375658,334168.1847814049,956538.6284891518,43599.28035034985,0.012495420342773301,0.9875045796572268,0.0
a111,a29,889898.6054375658,334168.1847814049,1064841.0448184786,55572.32128945334,0.013314317281028276,0.9866856827189716,0.0
a111,a30,889898.6054375658,334168.1847814049,1014671.2454987067,100851.60011371809,0.00828997062565351,0.9917100293743465,0.0
a111,a48,889898.6054375658,334168.1847814049,37600.85450180065,228982.25422487615,0.012552996505150524,0.9872741606669546,0.0001728428278947297
a111,a53,889898.6054375658,334168.1847814049,59276.64509977203,288394.168155032,0.012794400070322018,0.9857441974855274,0.0014614024441505728
a111,a54,889898.6054375658,334168.1847814049,69618.98926354437,215267.35621935493,0.00941532253141684,0.9901411692785481,0.0004435081900351218
a111,a60,889898.6054375658,334168.1847814049,993422.4039581957,336190.0082683037,0.004757862203250619,0.9715322554043075,0.023591028545390896
a111,a61,889898.6054375658,334168.1847814049,995966.8043385864,221468.21893070813,0.004696258314257175,0.9951959073638339,0.0
a111,a62,889898.6054375658,334168.1847814049,1039424.2437528288,293101.7844142529,0.06963172563377172,0.918019686031991,0.012348588334237319
a111,a63,889898.6054375658,334168.1847814049,1074034.20921661,359373.77787157,0.0021230161105857998,0.8484370007145998,0.1494399831748144
a111,a7,889898.6054375658,334168.1847814049,1046266.1956843117,133396.93655873838,0.5659392036244013,0.41617624006506576,0.017884556310532984
a111,a86,889898.6054375658,334168.1847814049,27578.320609000857,369242.76366373705,0.016580612990330652,0.963129659233801,0.02028972777586844
a111,a87,889898.6054375658,334168.1847814049,55935.68222770196,431120.71163364255,0.016583375654106232,0.9222903105162805,0.06112631382961326
a111,a88,889898.6054375658,334168.1847814049,32023.78744929099,323981.52773539966,0.22642258902074555,0.7608115157607864,0.012765895218468137
a111,a91,889898.6054375658,334168.1847814049,907468.9088304356,139155.29254849098,0.005607341595785016,0.994392658404215,0.0
a111,a94,889898.6054375658,334168.1847814049,241082.5618364242,426627.8071830488,9.121843294245574e-05,0.28805672602538235,0.7118520555416752
a111,b0,889898.6054375658,334168.1847814049,50760.2147813319,584180.0372893895,0.07021457760098326,0.8061310472053724,0.12365437519364422
a111,b117,889898.6054375658,334168.1847814049,537245.7370784151,553740.3571953266,0.032728402371750454,0.606503716969477,0.3607678806587726
a111,b118,889898.6054375658,334168.1847814049,515227.0176070538,620443.0361490146,0.006685608133126885,0.1994072216495067,0.7939071702173663
a111,b119,889898.6054375658,334168.1847814049,665024.3024401169,661743.5250490524,0.0,0.08144734304514664,0.9185526569548534
a111,b120,889898.6054375658,334168.1847814049,647439.0736386308,544197.9824012135,0.023194154881358637,0.5449527552140788,0.4318530899045625
a111,b121,889898.6054375658,334168.1847814049,572839.5790363664,523159.4166767191,0.030592048813459845,0.6584769086852453,0.3109310425012948
a111,b122,889898.6054375658,334168.1847814049,424187.71776244143,548577.6170518941,0.015794059957873186,0.4083617402430026,0.5758441997991243
a111,b129,889898.6054375658,334168.1847814049,387056.90335350175,453201.7082100457,0.004050125955026784,0.4669797127714692,0.528970161273504
a111,b130,889898.6054375658,334168.1847814049,467197.581104589,451735.90238462057,0.0,0.23434254984828662,0.7656574501517133
a111,b188,889898.6054375658,334168.1847814049,27872.939725068307,514953.3121732802,0.03825818826963718,0.8828527189158936,0.07888909281446925
a111,b19,889898.6054375658,334168.1847814049,161141.88476760828,581014.0857921882,0.030576632581703046,0.4430523202508742,0.5263710471674227
a111,b193,889898.6054375658,334168.1847814049,1096987.9004451788,485174.2980830728,0.0,0.19734531407657,0.80265468592343
a111,b20,889898.6054375658,334168.1847814049,111963.58178263302,608763.3126458392,0.054661603575869515,0.5061937114788978,0.4391446849452327
a111,b23,889898.6054375658,334168.1847814049,1073259.2459855105,625661.3021159507,0.0,0.0795518402214951,0.9204481597785049
a111,b24,889898.6054375658,334168.1847814049,1052939.0979868593,574192.2274992709,0.014335563094274799,0.5919190213056926,0.3937454156000326
a111,b25,889898.6054375658,334168.1847814049,934703.3547549607,626361.2165829476,0.006331549911687348,0.14257506910697368,0.8510933809813391
a111,b26,889898.6054375658,334168.1847814049,1009432.2509115043,660633.1067787703,0.018237786736308086,0.13056688217772178,0.8511953310859701
a111,b27,889898.6054375658,334168.1847814049,918856.354429379,504557.2427806811,0.005824653906821018,0.44173479845249625,0.5524405476406827
a111,b31,889898.6054375658,334168.1847814049,708468.7394887219,599267.1915466037,0.02029777769813292,0.3453328648359428,0.6343693574659243
a111,b32,889898.6054375658,334168.1847814049,296764.691078908,550904.9184246283,0.03372008049722709,0.6759257904442835,0.2903541290584895
a111,b33,889898.6054375658,334168.1847814049,200601.2685708276,560733.8130380973,0.028579599520634,0.5287993398869519,0.44262106059241424
a111,b45,889898.6054375658,334168.1847814049,825299.7438180047,618785.0938578451,0.021433657110167734,0.23593528477077763,0.7426310581190547
a111,b46,889898.6054375658,334168.1847814049,880531.5401482835,636730.8886724107,0.0,0.09269819691847853,0.9073018030815214
a111,b49,889898.6054375658,334168.1847814049,191375.67815587507,458013.9336139917,0.0,0.2330624240308564,0.7669375759691436
a111,b50,889898.6054375658,334168.1847814049,248789.01824278594,504279.49380263867,0.0032731669613944104,0.32811805783711573,0.6686087752014899
a111,b51,889898.6054375658,334168.1847814049,203187.66828825758,521214.7163001656,0.011963864863131106,0.47378061979436553,0.5142555153425034
a111,b52,889898.6054375658,334168.1847814049,123983.96072939361,506962.4564713862,0.015758332311379082,0.6241435663810612,0.3600981013075598
a111,b57,889898.6054375658,334168.1847814049,1049163.979722921,454252.42802275677,5.078911767578646e-05,0.36082875159299704,0.6391204592893273
a111,b58,889898.6054375658,334168.1847814049,957579.6701598847,540998.6217057523,0.015603530303448665,0.6603203833631143,0.3240760863334371
