O_id,D_id,distance
a1,a60,5.516003845364939
a1,a61,5.2298423088358685
a1,a62,2.016210465179351
a1,a63,1.385528476728668
a1,a64,2.011328473510668
a1,a65,2.303225476032383
a1,a66,1.674923448277527
a1,a67,1.1316053627000116
a1,a68,1.777824792768834
a1,a69,1.0685059129285155
a1,a70,2.295137695424273
a1,a71,0.8990443882493021
a1,a72,2.250053113364179
a1,a73,0.8539350491023877
a1,a74,0.6015337348641577
a1,a75,0.0
a1,a76,0.07802147293683652
a1,a77,0.7518031638809504
a1,a78,0.5179491956155312
a1,a79,0.7067175022330969
a1,a80,1.0830027447682695
a1,a81,1.152090139619212
a1,a82,2.0979202826737686
a1,a83,2.9884373137162856
a1,a84,2.127462629134909
a1,a85,1.364389551125163
a1,a86,1.8766466794723538
a1,a87,3.024886710938347
a1,a88,2.94043179032611
a1,a89,5.678554471983716
a1,a90,8.787839936796365
a1,a91,7.971002162321379
a1,a92,4.54352102899277
a1,a93,4.092437451010462
a1,a94,4.930587853009963
a1,a95,5.108547665381375
a1,a96,5.269645357599112
a1,a97,5.4604128154642435
a1,a98,6.148227598564725
a1,a99,4.365747161241965
a1,a100,5.1395537317114925
a1,a101,4.116802892828451
a1,a102,1.2122290062079812
a1,a103,1.1555933939053513
a1,a104,2.707264833653529
a1,a105,1.8275912945352266
a1,a106,1.872215424154897
a1,a107,3.1515533240171085
a1,a108,2.7188597578060816
a1,a109,2.624672875938505
a1,a110,3.025424510234176
a1,a111,3.5760187704102346
a1,a112,3.3929709536628683
a1,a113,3.139062045969345
a1,a114,4.257365697039104
a1,a115,4.3433867803392205
a1,a116,4.27756619515031
a1,a117,3.0218339349436683
a1,a118,3.323680222965668
a1,a119,2.904387700340217
a1,a120,2.4587054479559045
a1,a121,3.3354530361252874
a1,a122,3.1862457763973113
a1,a123,2.8497225602818066
a1,a124,3.7863898777913763
a1,a125,3.4397107074382656
a1,a126,5.044295112320981
a1,a127,4.607364970024476
a1,a128,7.950904396262615
a1,a129,8.353285471762536
a1,a130,8.254696462274723
a1,a131,5.56140122204773
a1,a132,5.598390033473782
a1,a133,5.215738136217753
a1,a134,5.9748544610934236
a1,a135,5.170811696354284
a1,a136,5.848244022393319
a1,a137,2.284014413520241
a1,a138,3.381498864778201
a1,a139,2.9879240084425436
a1,a140,2.981780106131632
a1,a141,2.2403733900102427
a1,a142,1.382764688551408
a1,a143,2.373733531042551
a1,a144,1.7208124568487555
a1,a145,2.127698716508461
a1,a146,3.8021355380040527
a1,a147,5.722905450793018
a1,a148,6.415002724714042
a1,a149,5.711758765632214
a1,a150,5.789243202576287
a1,a151,4.834622932126717
a1,a152,5.136135611686693
a1,a153,8.22702858071922
a1,a154,6.912365416710039
a1,a155,7.4900802395382104
a1,a156,7.220401845591081
a1,a157,6.528877640443029
a1,a158,6.336310282107783
a1,a159,6.732637885060492
a1,a160,2.3880397585461584
a1,a161,4.171335652090915
a1,a162,4.651690662070273
a1,a163,4.393320712387873
a1,a164,4.720125559118598
a1,a165,6.7686630437159145
a1,a166,7.263529896918714
a1,a167,7.084465349063452
a1,a168,7.318015455777105
a1,a169,6.578267268865412
a1,a170,7.5704147298351225
a1,a171,3.84350961830388
a1,a172,3.213250037894242
a1,a173,4.910561374202679
a1,a174,4.076324638273571
a1,a175,3.2639707640784446
a1,a176,5.740261564042326
a1,a177,5.746626273579003
a1,a178,6.370651098612432
a1,a179,5.174949541902221
a1,a180,5.54126268272501
a1,a181,4.903093032330375
a1,a182,2.0559380132787375
a1,a183,0.0
a1,a184,0.40871875452106554
a1,a185,3.354364192206619
a1,a186,4.234891574168907
a1,a187,4.878130373410156
a1,a188,6.848855038866754
a1,a189,8.74619437327429
a1,a190,10.5433978485298
a1,a191,9.05644237827821
a1,a192,8.168599566064715
a1,a193,5.680755000369967
a1,a194,3.017056832284282
a2,a3,8.02511300298509
a2,a4,8.114015148451955
a2,a5,8.106741452904574
a2,a6,7.916519864508004
a2,a7,7.072607269169341
a2,a8,1.5184966325125588
a2,a9,1.7499012734124137
a2,a10,9.826562897692208
a2,a11,9.802310213432003
a2,a12,9.885491494160895
a2,a13,9.056396501559272
a2,a14,9.682419039446641
a2,a15,9.607340324789444
a2,a16,8.444859777042462
a2,a17,8.387967518555138
a2,a18,8.966234468053761
a2,a19,8.520866231236132
a2,a20,7.118176111987395
a2,a21,7.789231009536775
a2,a22,7.55509159734028
a2,a23,7.3496984608643094
a2,a24,6.694719037577286
a2,a25,6.870202422095289
a2,a26,7.426843505851221
a2,a27,5.871430027262941
a2,a28,5.647689061213297
a2,a29,6.159525652375149
a2,a30,5.834606832782933
a2,a31,6.882617144803104
a2,a32,6.675410240680468
a2,a33,8.103441086149429
a2,a34,7.431317137523694
a2,a35,7.356143292062407
a2,a36,6.817628765635271
a2,a37,0.9308101077413982
a2,a38,0.6605123831451688
a2,a39,0.7386991102891662
a2,a40,1.3471838743610502
a2,a41,2.6840290804877815
a2,a42,3.199092093379616
a2,a43,3.778591127988503
a2,a44,1.3220529868972706
a2,a45,3.6867032622946074
a2,a46,0.0
a2,a47,6.834713060414214
a2,a48,7.3501254775470635
a2,a49,3.3405238009185143
a2,a50,4.724720863331759
a2,a51,7.737089872361438
a2,a52,9.097978492519195
a2,a53,8.571546254681785
a2,a54,6.571735800210297
a2,a55,7.0199462488075905
a2,a56,7.878199161844565
a2,a57,5.879308853524224
a2,a58,4.911429070487958
a2,a59,5.086881218527562
a2,a60,4.653132955209661
a2,a61,4.986387203326338
a2,a62,2.7618236694720797
a2,a63,2.498698652241369
a2,a64,2.4729664395629243
a2,a65,2.117887935240632
a2,a66,2.810964019961452
a2,a67,3.2005576262795046
a2,a68,2.0884103362012616
a2,a69,2.40437068888396
a2,a70,1.7841938805415896
a2,a71,2.7860913288626405
a2,a72,1.4897679826514345
a2,a73,6.4622885699842465
a2,a74,5.505551602814747
a2,a75,5.123675907075269
a2,a76,4.52620242633397
a2,a77,5.016560429274809
a2,a78,6.114086052239877
a2,a79,5.734725104188456
a2,a80,4.583247432610333
a2,a81,3.758123757241023
a2,a82,4.485125179117367
a2,a83,4.305098451193736
a2,a84,3.849799192405639
a2,a85,4.101164809129693
a2,a86,4.923778451200845
a2,a87,4.143564414364454
a2,a88,3.8012092230900025
a2,a89,1.2895058180151149
a2,a90,5.868317186818235
a2,a91,6.255350339271423
a2,a92,7.379494404258318
a2,a93,7.105374164111312
a2,a94,7.891248523714938
a2,a95,7.296565533954956
a2,a96,7.558702362743813
a2,a97,8.0989611204414
a2,a98,7.446195131714016
a2,a99,5.541717282945746
a2,a100,5.387451091869279
a2,a101,4.360060265594502
a2,a102,6.365716897835969
a2,a103,6.217052815039497
a2,a104,8.277556090105382
a2,a105,7.247211826525208
a2,a106,7.386911479037188
a2,a107,5.411901435796241
a2,a108,5.8431040829739676
a2,a109,5.089187955701175
a2,a110,4.627859408533646
a2,a111,4.725200702931985
a2,a112,6.235081726421815
a2,a113,6.146402636219637
a2,a114,6.4874255960014535
a2,a115,6.127499720077348
a2,a116,5.773674511228791
a2,a117,2.2369783828739864
a2,a118,2.978216149001506
a2,a119,2.5793484471949304
a2,a120,2.2021766751839498
a2,a121,1.2576946101393087
a2,a122,1.6473643706364962
a2,a123,1.4073921260521767
a2,a124,0.23421596741624584
a2,a125,0.19338606302038697
a2,a126,1.2388075937492635
a2,a127,1.3562366549303895
a2,a128,5.211636403595904
a2,a129,5.433559152772935
a2,a130,5.823752192171638
a2,a131,6.47123455198269
a2,a132,7.0356325473585555
a2,a133,6.593815164823471
a2,a134,6.9123218340088375
a2,a135,6.267010513456341
a2,a136,6.312740257904012
a2,a137,6.530662067229074
a2,a138,7.247346699300358
a2,a139,6.763419176041195
a2,a140,6.37759627587964
a2,a141,5.877194458221215
a2,a142,5.364946856136597
a2,a143,7.674331103975634
a2,a144,6.979694898101821
a2,a145,6.531298172605461
a2,a146,1.7594102688320181
a2,a147,2.0652911760622605
a2,a148,2.4440749729988465
a2,a149,0.9840007703291449
a2,a150,1.0950209335741128
a2,a151,0.15617249891320045
a2,a152,0.28578752134943863
a2,a153,5.098933954443577
a2,a154,5.140902800097218
a2,a155,5.2555771233322535
a2,a156,5.653187113029401
a2,a157,4.685559873306967
a2,a158,4.882657762355594
a2,a159,5.630304751686574
a2,a160,7.157556370009135
a2,a161,3.2261478289539665
a2,a162,4.238731541663219
a2,a163,2.758642729221659
a2,a164,2.059151851071345
a2,a165,3.409039077110492
a2,a166,4.398590574952364
a2,a167,4.322217296921283
